EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0028,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,SPIN COAT PHOTORESIST,OPEN PAD WINDOW,OPEN BOND PAD WINDOW
valid_0029,STRIP PHOTORESIST,STRIP RESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,HARD BAKE
valid_0030,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,CLEAN AFTER VIA ETCH
valid_0032,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION,DENSIFY DIELECTRIC
valid_0033,FILL VIA METAL,DEPOSIT METAL SEED,ANNEAL METAL,ANNEAL METAL 1,CMP METAL
valid_0034,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP,PAD WINDOW LITHO
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT INTERLAYER DIELECTRIC,IMPLANT LDD
valid_0036,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,VIA INSPECTION
valid_0038,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,MEASURE LINE WIDTH,CURE PASSIVATION
valid_0039,CMP METAL,CMP VIA FILL,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,BACKSIDE CLEAN
valid_0040,MEASURE PAD OPENING,IMPLANT SOURCE DRAIN,MEASURE GATE CD,BACKSIDE GRIND,CLEAN PAD OPENING
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,MEASURE OPENING CD,MEASURE GATE CD
valid_0042,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,VIA INSPECTION
valid_0044,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,DEPOSIT PASSIVATION LAYER,DIELECTRIC ETCH VIA
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,MEASURE OPENING CD,MEASURE GATE CD
valid_0046,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0047,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL 1,ANNEAL METAL,POLYSILICON ANNEAL
valid_0048,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DEVELOP PHOTORESIST
valid_0049,DEPOSIT BARRIER METAL,DEPOSIT POLYSILICON,DEPOSIT METAL SEED,MEASURE VIA CD,DEPOSIT PASSIVATION
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT LDD,DEPOSIT METAL SEED,DEPOSIT PASSIVATION
valid_0052,STRIP RESIST,STRIP PHOTORESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,PASSIVATION ETCH PAD OPENING
valid_0053,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,DEPOSIT METAL SEED,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH
valid_0054,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DIELECTRIC ETCH VIA
valid_0055,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL 1,ANNEAL METAL,POLYSILICON ANNEAL
valid_0056,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH
valid_0057,STRIP PHOTORESIST,STRIP RESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,VIA ETCH
valid_0058,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,CURE PASSIVATION
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,CMP METAL
valid_0060,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,SPIN COAT PHOTORESIST,EXPOSE LITHO LEVEL 3,IMPLANT LDD
valid_0062,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,STRIP RESIST,STRIP PHOTORESIST
valid_0063,STRIP PHOTORESIST,STRIP RESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,BACKSIDE ETCH CLEAN
valid_0064,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,STRIP RESIST,OPEN PAD WINDOW LITHO
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,MEASURE DIELECTRIC THICKNESS
valid_0066,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA INSPECTION,DIELECTRIC ETCH VIA,CLEAN PAD OPENING
valid_0067,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0068,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP
valid_0069,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,ALIGN MASK LEVEL 3
valid_0070,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0071,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,ALIGN MASK LEVEL 3
valid_0072,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,VIA INSPECTION,MEASURE OPENING CD
valid_0074,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,MEASURE SPACER WIDTH
valid_0076,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,POLYSILICON ETCH,OXIDE ETCH
valid_0077,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,DEPOSIT METAL SEED,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH
valid_0078,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE RINSE,LEAKAGE TEST
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,CLEAN AFTER VIA ETCH
valid_0080,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,SPIN COAT PHOTORESIST,DEPOSIT METAL SEED,IMPLANT LDD
valid_0082,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP,DENSIFY DIELECTRIC
valid_0083,STRIP RESIST,STRIP PHOTORESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,HARD BAKE
valid_0084,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DIELECTRIC ETCH VIA
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,MEASURE GATE CD,MEASURE OPENING CD
valid_0086,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER VIA ETCH,BACKSIDE RINSE
valid_0087,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,METAL ETCH
valid_0088,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST,EXPOSE LITHO LEVEL 2
valid_0089,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,DEPOSIT METAL SEED,CLEAN PAD OPENING
valid_0090,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE LINE WIDTH
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,VIA INSPECTION
valid_0092,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0093,STRIP PHOTORESIST,STRIP RESIST,DENSIFY DIELECTRIC,DEVELOP PHOTORESIST,DENSIFY OXIDE
valid_0094,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,VIA INSPECTION
valid_0096,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,PAD WINDOW LITHO
valid_0097,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING
valid_0098,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0099,FILL VIA METAL,DEPOSIT METAL SEED,CMP METAL,CMP VIA FILL,ANNEAL METAL
valid_0100,CLEAN PAD OPENING,CLEAN AFTER ETCH,MEASURE PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH
valid_0101,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER POLY ETCH,CLEAN AFTER ETCH
valid_0102,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT LDD,SPIN COAT PHOTORESIST,DEPOSIT PASSIVATION
valid_0104,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,DIELECTRIC ETCH VIA,DEPOSIT PASSIVATION
valid_0105,DEPOSIT BARRIER METAL,MEASURE VIA CD,IMPLANT LDD,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST
valid_0106,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,MEASURE LINE WIDTH,BACKSIDE METALLIZATION PREP
valid_0107,DEPOSIT METAL SEED,FILL VIA METAL,POLYSILICON ANNEAL,ANNEAL METAL,ANNEAL METAL 1
valid_0108,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0109,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0110,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0111,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN PAD OPENING
valid_0112,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,DEVELOP PHOTORESIST,LEAKAGE TEST
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,CLEAN AFTER VIA ETCH
valid_0114,CLEAN PAD OPENING,CLEAN AFTER ETCH,MEASURE PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,MEASURE DIELECTRIC THICKNESS
valid_0116,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE LINE WIDTH
valid_0117,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,ALIGN MASK LEVEL 3,DEPOSIT METAL SEED
valid_0118,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0119,DEPOSIT BARRIER METAL,MEASURE VIA CD,EXPOSE LITHO LEVEL 3,DEPOSIT METAL SEED,IMPLANT LDD
valid_0120,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,MEASURE PAD OPENING
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,MEASURE OPENING CD,VIA INSPECTION
valid_0122,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,DEPOSIT PASSIVATION LAYER
valid_0123,FILL VIA METAL,DEPOSIT METAL SEED,ANNEAL METAL,ANNEAL METAL 1,CMP METAL
valid_0124,CLEAN PAD OPENING,MEASURE PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0126,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DENSIFY DIELECTRIC
valid_0127,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,DEPOSIT METAL SEED,ALIGN MASK LEVEL 3
valid_0128,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,PAD WINDOW LITHO,DEVELOP PAD WINDOW
valid_0129,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,HARD BAKE,VIA INSPECTION
valid_0130,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0131,DEPOSIT METAL SEED,ANNEAL METAL,FILL VIA METAL,ANNEAL METAL 1,POLYSILICON ANNEAL
valid_0132,CLEAN PAD OPENING,MEASURE PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,BACKSIDE RINSE
valid_0133,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL,ANNEAL METAL 1,POLYSILICON ANNEAL
valid_0134,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,MEASURE PAD OPENING,BACKSIDE RINSE
valid_0135,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL,ANNEAL METAL 1,POLYSILICON ANNEAL
valid_0136,CLEAN PAD OPENING,MEASURE PAD OPENING,CLEAN AFTER ETCH,BACKSIDE RINSE,CLEAN AFTER VIA ETCH
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,VIA INSPECTION
valid_0138,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0139,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,DEVELOP PHOTORESIST
valid_0140,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,MEASURE LINE WIDTH,BACKSIDE METALLIZATION PREP
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST,EXPOSE LITHO LEVEL 3
valid_0142,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,DENSIFY DIELECTRIC,BACKSIDE METALLIZATION PREP
valid_0143,DEPOSIT METAL SEED,ANNEAL METAL 1,ANNEAL METAL,FILL VIA METAL,DEPOSIT METAL 1
valid_0144,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,CLEAN AFTER VIA ETCH
valid_0146,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,DIELECTRIC ETCH VIA,DEPOSIT PASSIVATION LAYER
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,VIA INSPECTION
valid_0148,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DENSIFY DIELECTRIC
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,DEPOSIT TOP METAL
valid_0150,STRIP PHOTORESIST,STRIP RESIST,LEAKAGE TEST,BACKSIDE RINSE,BACKSIDE METALLIZATION PREP
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,MEASURE OPENING CD,CMP METAL
valid_0152,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,STRIP RESIST,STRIP PHOTORESIST
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,SPIN COAT PHOTORESIST,CLEAN AFTER VIA ETCH
valid_0154,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0155,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH
valid_0156,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,MEASURE LINE WIDTH
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT PASSIVATION,DEPOSIT METAL SEED,DEPOSIT INTERLAYER DIELECTRIC
valid_0158,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH
valid_0159,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,VIA INSPECTION,MEASURE GATE CD
valid_0160,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION
valid_0161,STRIP RESIST,STRIP PHOTORESIST,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0162,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0163,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE OPENING CD,MEASURE GATE CD,MEASURE LINE WIDTH
valid_0164,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DEVELOP PHOTORESIST
valid_0165,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,SPIN COAT PHOTORESIST,CMP METAL
valid_0166,STRIP PHOTORESIST,STRIP RESIST,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP,DEVELOP PAD WINDOW
valid_0167,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT PASSIVATION,IMPLANT LDD,DEPOSIT METAL SEED
valid_0168,CLEAN PAD OPENING,CLEAN AFTER ETCH,MEASURE PAD OPENING,PASSIVATION ETCH,BACKSIDE RINSE
valid_0169,STRIP PHOTORESIST,STRIP RESIST,DENSIFY DIELECTRIC,DENSIFY OXIDE,IMPLANT LDD
valid_0170,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,CURE PASSIVATION,DENSIFY DIELECTRIC
valid_0171,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL,ANNEAL METAL 1,POLYSILICON ANNEAL
valid_0172,STRIP PHOTORESIST,STRIP RESIST,CURE PASSIVATION,BACKSIDE METALLIZATION PREP,DEVELOP PHOTORESIST
valid_0173,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE GATE CD,CLEAN AFTER VIA ETCH,VIA INSPECTION
valid_0174,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DIELECTRIC ETCH VIA,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0175,MEASURE VIA CD,DEPOSIT BARRIER METAL,CMP METAL,MEASURE GATE CD,MEASURE OPENING CD
valid_0176,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,CURE PASSIVATION,DENSIFY DIELECTRIC
valid_0177,DEPOSIT METAL SEED,FILL VIA METAL,ANNEAL METAL,ANNEAL METAL 1,DEPOSIT METAL 1
valid_0178,STRIP PHOTORESIST,STRIP RESIST,MEASURE LINE WIDTH,DEVELOP PHOTORESIST,BACKSIDE METALLIZATION PREP
valid_0179,FILL VIA METAL,DEPOSIT METAL SEED,ANNEAL METAL,ANNEAL METAL 1,CMP METAL
valid_0180,MEASURE PAD OPENING,DEVELOP PHOTORESIST,BACKSIDE GRIND,DEVELOP PAD WINDOW,CLEAN PAD OPENING
valid_0181,STRIP PHOTORESIST,STRIP RESIST,DENSIFY OXIDE,DENSIFY DIELECTRIC,CURE PASSIVATION
valid_0182,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CLEAN PAD OPENING,PAD WINDOW LITHO
valid_0183,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT PASSIVATION,IMPLANT LDD,DEPOSIT PASSIVATION LAYER
valid_0184,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE METALLIZATION PREP,PASSIVATION ETCH PAD OPENING,CURE PASSIVATION
valid_0185,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,SPIN COAT PHOTORESIST,IMPLANT LDD
